4466.0000 C = 8070.7998 F
ERROR: Input tidak valid: 4155.0000m
ERROR: Input tidak valid: 2178.0000x
ERROR: Input tidak valid: 728.0000x
3029.0000 C = 5484.2002 F
2333.0000 F = 1278.3334 C
ERROR: Input tidak valid: 1847.0000z
ERROR: Input tidak valid: 4290.0000m
3976.0000 F = 2191.1111 C
ERROR: Input tidak valid: 3291.0000m
ERROR: Input tidak valid: 4712.0000p
ERROR: Input tidak valid: 3809.0000z
ERROR: Input tidak valid: 2547.0000z
1699.0000 C = 3090.2000 F
4152.0000 C = 7505.6001 F
ERROR: Input tidak valid: 3438.0000p
1305.0000 F = 707.2222 C
ERROR: Input tidak valid: 1409.0000m
ERROR: Input tidak valid: 1078.0000z
4400.0000 F = 2426.6667 C
ERROR: Input tidak valid: 3499.0000m
ERROR: Input tidak valid: 23.0000z
ERROR: Input tidak valid: 3315.0000p
636.0000 C = 1176.8000 F
ERROR: Input tidak valid: 517.0000p
1200.0000 F = 648.8889 C
ERROR: Input tidak valid: 161.0000p
ERROR: Input tidak valid: 3600.0000y
ERROR: Input tidak valid: 1430.0000p
1869.0000 C = 3396.2000 F
4834.0000 F = 2667.7778 C
ERROR: Input tidak valid: 38.0000m
1180.0000 C = 2156.0000 F
ERROR: Input tidak valid: 2532.0000p
2990.0000 F = 1643.3334 C
ERROR: Input tidak valid: 2525.0000z
218.0000 F = 103.3333 C
ERROR: Input tidak valid: 736.0000x
ERROR: Input tidak valid: 4605.0000m
ERROR: Input tidak valid: 4037.0000z
ERROR: Input tidak valid: 273.0000x
ERROR: Input tidak valid: 1138.0000y
3612.0000 F = 1988.8889 C
747.0000 C = 1376.6000 F
4987.0000 C = 9008.5996 F
ERROR: Input tidak valid: 3759.0000z
ERROR: Input tidak valid: 54.0000y
ERROR: Input tidak valid: 393.0000y
ERROR: Input tidak valid: 4561.0000z
ERROR: Input tidak valid: 4308.0000z
3970.0000 F = 2187.7778 C
ERROR: Input tidak valid: 2133.0000p
ERROR: Input tidak valid: 3727.0000y
3228.0000 C = 5842.3999 F
ERROR: Input tidak valid: 996.0000y
ERROR: Input tidak valid: 1448.0000p
ERROR: Input tidak valid: 1470.0000y
ERROR: Input tidak valid: 4722.0000z
ERROR: Input tidak valid: 2291.0000x
3548.0000 C = 6418.3999 F
ERROR: Input tidak valid: 2032.0000x
2195.0000 F = 1201.6666 C
ERROR: Input tidak valid: 2265.0000x
ERROR: Input tidak valid: 3524.0000p
ERROR: Input tidak valid: 3529.0000y
1331.0000 C = 2427.8000 F
ERROR: Input tidak valid: 2851.0000x
ERROR: Input tidak valid: 661.0000m
2809.0000 C = 5088.2002 F
ERROR: Input tidak valid: 4323.0000y
ERROR: Input tidak valid: 3322.0000p
ERROR: Input tidak valid: 2317.0000x
4680.0000 F = 2582.2222 C
ERROR: Input tidak valid: 3505.0000z
ERROR: Input tidak valid: 1299.0000m
3410.0000 C = 6170.0000 F
ERROR: Input tidak valid: 1403.0000p
4871.0000 F = 2688.3333 C
ERROR: Input tidak valid: 2064.0000x
ERROR: Input tidak valid: 4534.0000y
ERROR: Input tidak valid: 3992.0000z
ERROR: Input tidak valid: 1103.0000p
ERROR: Input tidak valid: 244.0000m
165.0000 C = 329.0000 F
ERROR: Input tidak valid: 3883.0000y
3758.0000 F = 2070.0000 C
ERROR: Input tidak valid: 3050.0000z
ERROR: Input tidak valid: 1570.0000m
ERROR: Input tidak valid: 350.0000m
ERROR: Input tidak valid: 947.0000z
ERROR: Input tidak valid: 3947.0000z
1238.0000 F = 670.0000 C
ERROR: Input tidak valid: 774.0000x
ERROR: Input tidak valid: 4594.0000m
3746.0000 F = 2063.3333 C
ERROR: Input tidak valid: 352.0000y
ERROR: Input tidak valid: 4894.0000y
1895.0000 F = 1035.0000 C
2267.0000 C = 4112.6001 F
ERROR: Input tidak valid: 1663.0000x
ERROR: Input tidak valid: 3267.0000p
ERROR: Input tidak valid: 1786.0000y
ERROR: Input tidak valid: 3346.0000z
1167.0000 C = 2132.6001 F
ERROR: Input tidak valid: 2537.0000y
ERROR: Input tidak valid: 3198.0000x
ERROR: Input tidak valid: 4680.0000y
3407.0000 F = 1875.0000 C
ERROR: Input tidak valid: 3809.0000m
ERROR: Input tidak valid: 4649.0000z
ERROR: Input tidak valid: 1161.0000m
ERROR: Input tidak valid: 4266.0000z
ERROR: Input tidak valid: 595.0000x
ERROR: Input tidak valid: 1542.0000m
ERROR: Input tidak valid: 3289.0000y
ERROR: Input tidak valid: 3371.0000p
ERROR: Input tidak valid: 1934.0000p
ERROR: Input tidak valid: 4270.0000z
ERROR: Input tidak valid: 2825.0000p
3693.0000 F = 2033.8889 C
ERROR: Input tidak valid: 3234.0000p
3114.0000 F = 1712.2222 C
ERROR: Input tidak valid: 988.0000z
4122.0000 C = 7451.6001 F
1407.0000 F = 763.8889 C
ERROR: Input tidak valid: 4210.0000m
1775.0000 C = 3227.0000 F
ERROR: Input tidak valid: 391.0000z
ERROR: Input tidak valid: 1573.0000m
ERROR: Input tidak valid: 1003.0000x
2045.0000 F = 1118.3334 C
412.0000 C = 773.6000 F
361.0000 C = 681.8000 F
2659.0000 C = 4818.2002 F
ERROR: Input tidak valid: 4298.0000p
ERROR: Input tidak valid: 2167.0000x
528.0000 F = 275.5555 C
ERROR: Input tidak valid: 4373.0000x
921.0000 F = 493.8889 C
ERROR: Input tidak valid: 3524.0000x
ERROR: Input tidak valid: 3280.0000z
ERROR: Input tidak valid: 1941.0000p
ERROR: Input tidak valid: 4362.0000p
4684.0000 F = 2584.4443 C
ERROR: Input tidak valid: 3644.0000m
ERROR: Input tidak valid: 4831.0000m
ERROR: Input tidak valid: 1465.0000z
ERROR: Input tidak valid: 3868.0000y
ERROR: Input tidak valid: 271.0000x
ERROR: Input tidak valid: 2244.0000m
ERROR: Input tidak valid: 3874.0000z
779.0000 F = 415.0000 C
3494.0000 C = 6321.2002 F
3515.0000 F = 1935.0000 C
1773.0000 F = 967.2222 C
380.0000 C = 716.0000 F
ERROR: Input tidak valid: 1202.0000z
ERROR: Input tidak valid: 1061.0000x
ERROR: Input tidak valid: 4431.0000z
ERROR: Input tidak valid: 544.0000x
1068.0000 C = 1954.4000 F
ERROR: Input tidak valid: 4910.0000y
ERROR: Input tidak valid: 4611.0000y
ERROR: Input tidak valid: 4870.0000y
ERROR: Input tidak valid: 275.0000m
3682.0000 F = 2027.7778 C
ERROR: Input tidak valid: 4135.0000y
1627.0000 C = 2960.6001 F
554.0000 F = 290.0000 C
912.0000 F = 488.8889 C
ERROR: Input tidak valid: 248.0000z
ERROR: Input tidak valid: 2677.0000y
ERROR: Input tidak valid: 2353.0000x
ERROR: Input tidak valid: 3770.0000x
ERROR: Input tidak valid: 605.0000z
4169.0000 F = 2298.3333 C
ERROR: Input tidak valid: 1674.0000z
ERROR: Input tidak valid: 2884.0000z
ERROR: Input tidak valid: 445.0000z
ERROR: Input tidak valid: 1550.0000p
ERROR: Input tidak valid: 1544.0000y
ERROR: Input tidak valid: 2236.0000y
4186.0000 C = 7566.7998 F
4660.0000 C = 8420.0000 F
1678.0000 F = 914.4445 C
ERROR: Input tidak valid: 405.0000y
ERROR: Input tidak valid: 1488.0000m
3109.0000 F = 1709.4445 C
ERROR: Input tidak valid: 2620.0000z
3215.0000 C = 5819.0000 F
1280.0000 C = 2336.0000 F
ERROR: Input tidak valid: 1293.0000y
ERROR: Input tidak valid: 3090.0000p
ERROR: Input tidak valid: 1969.0000p
ERROR: Input tidak valid: 2880.0000p
ERROR: Input tidak valid: 2569.0000p
ERROR: Input tidak valid: 3255.0000y
3188.0000 C = 5770.3999 F
ERROR: Input tidak valid: 236.0000m
2114.0000 C = 3837.2000 F
4420.0000 C = 7988.0000 F
ERROR: Input tidak valid: 774.0000x
ERROR: Input tidak valid: 3062.0000y
811.0000 C = 1491.8000 F
ERROR: Input tidak valid: 2009.0000y
ERROR: Input tidak valid: 2553.0000z
557.0000 C = 1034.6000 F
ERROR: Input tidak valid: 995.0000z
ERROR: Input tidak valid: 1088.0000z
ERROR: Input tidak valid: 1025.0000y
ERROR: Input tidak valid: 2524.0000y
4411.0000 F = 2432.7778 C
ERROR: Input tidak valid: 3297.0000p
1071.0000 F = 577.2222 C
ERROR: Input tidak valid: 1688.0000y
ERROR: Input tidak valid: 3492.0000z
ERROR: Input tidak valid: 3848.0000y
2394.0000 F = 1312.2222 C
ERROR: Input tidak valid: 548.0000z
ERROR: Input tidak valid: 2138.0000z
ERROR: Input tidak valid: 4518.0000y
ERROR: Input tidak valid: 4023.0000z
ERROR: Input tidak valid: 4928.0000x
2212.0000 C = 4013.6001 F
ERROR: Input tidak valid: 1578.0000x
3859.0000 C = 6978.2002 F
ERROR: Input tidak valid: 458.0000m
ERROR: Input tidak valid: 4826.0000m
ERROR: Input tidak valid: 691.0000x
4529.0000 F = 2498.3333 C
ERROR: Input tidak valid: 3572.0000y
ERROR: Input tidak valid: 229.0000y
ERROR: Input tidak valid: 3420.0000y
ERROR: Input tidak valid: 3040.0000x
ERROR: Input tidak valid: 1604.0000y
ERROR: Input tidak valid: 2626.0000m
1646.0000 C = 2994.8000 F
ERROR: Input tidak valid: 2917.0000p
ERROR: Input tidak valid: 897.0000y
ERROR: Input tidak valid: 2593.0000m
4341.0000 C = 7845.7998 F
ERROR: Input tidak valid: 1644.0000p
ERROR: Input tidak valid: 3891.0000x
ERROR: Input tidak valid: 1067.0000x
ERROR: Input tidak valid: 719.0000p
ERROR: Input tidak valid: 1822.0000m
3592.0000 C = 6497.6001 F
ERROR: Input tidak valid: 3985.0000y
899.0000 C = 1650.2000 F
816.0000 C = 1500.8000 F
ERROR: Input tidak valid: 3463.0000m
3212.0000 C = 5813.6001 F
ERROR: Input tidak valid: 1595.0000x
ERROR: Input tidak valid: 4565.0000m
ERROR: Input tidak valid: 3927.0000p
ERROR: Input tidak valid: 2480.0000z
ERROR: Input tidak valid: 2960.0000y
ERROR: Input tidak valid: 3244.0000x
ERROR: Input tidak valid: 3897.0000m
ERROR: Input tidak valid: 3767.0000x
ERROR: Input tidak valid: 1134.0000m
ERROR: Input tidak valid: 2442.0000p
2079.0000 F = 1137.2222 C
ERROR: Input tidak valid: 1573.0000p
4808.0000 C = 8686.4004 F
771.0000 F = 410.5555 C
ERROR: Input tidak valid: 3285.0000z
ERROR: Input tidak valid: 3736.0000m
ERROR: Input tidak valid: 2622.0000y
ERROR: Input tidak valid: 1797.0000x
ERROR: Input tidak valid: 558.0000y
4303.0000 F = 2372.7778 C
ERROR: Input tidak valid: 4619.0000p
ERROR: Input tidak valid: 4244.0000p
4276.0000 F = 2357.7778 C
ERROR: Input tidak valid: 535.0000y
475.0000 C = 887.0000 F
ERROR: Input tidak valid: 4208.0000p
ERROR: Input tidak valid: 2141.0000y
ERROR: Input tidak valid: 1165.0000m
ERROR: Input tidak valid: 3472.0000z
ERROR: Input tidak valid: 2171.0000m
ERROR: Input tidak valid: 1655.0000z
ERROR: Input tidak valid: 1294.0000m
ERROR: Input tidak valid: 1182.0000y
ERROR: Input tidak valid: 4920.0000x
ERROR: Input tidak valid: 3109.0000m
